symbol,sector
ADANIENT,Conglomerate
ADANIPORTS,Infrastructure
APOLLOHOSP,Pharmaceuticals
ASIANPAINT,Consumer Goods
AXISBANK,Banking
BAJAJ-AUTO,Automobile
BAJAJFINSV,Finance
BAJFINANCE,Finance
BEL,Defense
BHARTIARTL,Telecom
BPCL,Energy
BRITANNIA,Consumer Goods
CIPLA,Pharmaceuticals
COALINDIA,Energy
DRREDDY,Pharmaceuticals
EICHERMOT,Automobile
GRASIM,Cement
HCLTECH,Technology
HDFCBANK,Banking
HDFCLIFE,Finance
HEROMOTOCO,Automobile
HINDALCO,Metals
HINDUNILVR,Consumer Goods
ICICIBANK,Banking
INDUSINDBK,Banking
INFY,Technology
ITC,Consumer Goods
JSWSTEEL,Metals
KOTAKBANK,Banking
LT,Infrastructure
M&M,Automobile
MARUTI,Automobile
NESTLEIND,Consumer Goods
NTPC,Utilities
ONGC,Energy
POWERGRID,Utilities
RELIANCE,Energy
SBILIFE,Finance
SBIN,Banking
SHRIRAMFIN,Finance
SUNPHARMA,Pharmaceuticals
TATACONSUM,Consumer Goods
TATAMOTORS,Automobile
TATASTEEL,Metals
TCS,Technology
TECHM,Technology
TRENT,Retail
ULTRACEMCO,Cement
WIPRO,Technology
